,start,stop,middle,duration,keys,total,bandwidth,who,type,called_from,time,compressed
2038,1713455741.2840974,1713455741.2958322,1713455741.289965,0.011734724044799805,"{('chunk_min-partial-8dd005561753a0069a30a564b3da22ea', 22, 0, 0, 0): 1}",1,85.21717223023629,tcp://10.201.0.212:34699,incoming_transfer,tcp://10.201.0.229:45945,1713455741.2027495,
2039,1713455740.2595613,1713455740.2659159,1713455740.2627387,0.006354570388793945,"{('array-8838909ee9756e34565341881e2e6f0c', 29): 336}",336,52875.32900611564,tcp://10.201.0.229:44955,incoming_transfer,tcp://10.201.0.212:45449,1713455741.2248745,
2040,1713455741.3206825,1713455741.3235059,1713455741.3220942,0.002823352813720703,"{('array-8838909ee9756e34565341881e2e6f0c', 10): 336}",336,119007.4433372741,tcp://10.201.0.229:37485,incoming_transfer,tcp://10.201.0.212:45449,1713455741.2248776,
2041,1713455741.2840974,1713455741.2958322,1713455741.289965,0.011734724044799805,"{('chunk_min-partial-8dd005561753a0069a30a564b3da22ea', 22, 0, 0, 0): 1}",1,85.21717223023629,tcp://10.201.0.212:34699,incoming_transfer,tcp://10.201.0.229:45945,1713455741.2283592,
2042,1713455741.2621143,1713455741.3228383,1713455741.2924764,0.06072402000427246,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 12, 0, 0, 0): 3324}",3324,54739.45894501266,tcp://10.201.0.212:45449,incoming_transfer,tcp://10.201.0.229:45945,1713455741.2283614,
2043,1713455740.8707159,1713455740.8717935,1713455740.753345,0.0010776519775390625,"{('array-8838909ee9756e34565341881e2e6f0c', 22): 336}",336,311788.9699115044,tcp://10.201.0.229:45945,outgoing_transfer,tcp://10.201.0.229:37485,1713455741.237747,664.0
2044,1713455741.3401477,1713455741.3423843,1713455741.2233562,0.002236604690551758,"{('array-8838909ee9756e34565341881e2e6f0c', 10): 336}",336,150227.70962583946,tcp://10.201.0.212:45449,outgoing_transfer,tcp://10.201.0.229:37485,1713455741.2377503,664.0
2045,1713455741.0388925,1713455741.0399199,1713455740.9402895,0.0010273456573486328,"{('array-8838909ee9756e34565341881e2e6f0c', 20): 336}",336,327056.4270132281,tcp://10.201.0.212:38577,outgoing_transfer,tcp://10.201.0.212:45449,1713455741.2438424,664.0
2046,1713455741.321651,1713455741.3408399,1713455741.2321289,0.019188880920410156,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 12, 0, 0, 0): 3324}",3324,173225.31802594304,tcp://10.201.0.229:45945,outgoing_transfer,tcp://10.201.0.212:45449,1713455741.2438455,621.0
2047,1713455741.2177846,1713455741.2267559,1713455741.0857043,0.008971214294433594,"{('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 26, 0, 0, 0): 1}",1,111.46763048793451,tcp://10.201.0.229:44955,outgoing_transfer,tcp://10.201.0.212:34699,1713455741.2982674,347.0
2048,1713455741.3007858,1713455741.3028204,1713455741.1652372,0.0020346641540527344,"{('chunk_max-partial-8c47771865924cf589c1b50dcf089083', 22, 0, 0, 0): 1}",1,491.48160299976564,tcp://10.201.0.229:45945,outgoing_transfer,tcp://10.201.0.212:34699,1713455741.2982712,347.0
2049,1713455741.3235574,1713455741.3349657,1713455741.1926956,0.011408329010009766,"{('chunk_min-partial-8dd005561753a0069a30a564b3da22ea', 22, 0, 0, 0): 1}",1,87.65525600835946,tcp://10.201.0.229:45945,outgoing_transfer,tcp://10.201.0.212:34699,1713455741.2982779,347.0
2050,1713455741.0113366,1713455741.062288,1713455741.0368123,0.050951480865478516,"{('array-8838909ee9756e34565341881e2e6f0c', 20): 336}",336,6594.509017060822,tcp://10.201.0.212:45449,incoming_transfer,tcp://10.201.0.212:38577,1713455741.41921,
2051,1713455741.0042512,1713455741.0054617,1713455740.8683877,0.0012104511260986328,"{('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 58, 0, 0, 0): 1, ('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 58, 0, 0, 0): 1}",2,1652.2765412645263,tcp://10.201.0.229:41793,outgoing_transfer,tcp://10.201.0.212:38553,1713455741.4192393,653.0
2052,1713455741.4485393,1713455741.4742625,1713455741.461401,0.02572321891784668,"{('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 29, 0, 0, 0): 1}",1,38.875383488891565,tcp://10.201.0.212:38553,incoming_transfer,tcp://10.201.0.212:38577,1713455741.4192123,
2053,1713455741.4968286,1713455741.4982283,1713455741.4178267,0.0013997554779052734,"{('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 29, 0, 0, 0): 1}",1,714.4104922500426,tcp://10.201.0.212:38577,outgoing_transfer,tcp://10.201.0.212:38553,1713455741.4192417,347.0
2054,1713455741.3206825,1713455741.3235059,1713455741.3220942,0.002823352813720703,"{('array-8838909ee9756e34565341881e2e6f0c', 10): 336}",336,119007.4433372741,tcp://10.201.0.229:37485,incoming_transfer,tcp://10.201.0.212:45449,1713455741.545979,
2055,1713455741.554808,1713455741.620221,1713455741.5875144,0.06541299819946289,"{('array-8838909ee9756e34565341881e2e6f0c', 9): 336}",336,5136.593784853588,tcp://10.201.0.229:44955,incoming_transfer,tcp://10.201.0.212:45449,1713455741.545982,
2056,1713455740.9367232,1713455740.9412684,1713455740.8227782,0.0045452117919921875,"{('array-8838909ee9756e34565341881e2e6f0c', 16): 336}",336,73923.94796475032,tcp://10.201.0.212:38577,outgoing_transfer,tcp://10.201.0.229:44955,1713455741.5489533,664.0
